sku,description,category,cost,selling_price,lead_time_days,moq
SKU-073,Heavy-Duty Strainer Element 25mm,Filtration,481.14,762.62,21,25
SKU-074,Standard Terminal Block 40mm,Electrical,13.14,23.7,14,1
SKU-075,Heavy-Duty Strut Channel M12,Structural,567.78,1043.55,14,200
SKU-076,High-Performance Dispensing Valve M12,Lubrication,535.09,904.62,7,1
SKU-077,High-Performance O-Ring Kit 25mm,Seals,80.52,161.02,21,20
SKU-078,"High-Performance Stud Bolt 3/4""",Fasteners,201.28,377.98,21,5
SKU-079,Precision Power Supply 25mm,Electronics,116.28,164.4,7,100
SKU-080,Industrial Valve Block 40mm,Hydraulics,460.69,897.21,14,5
SKU-081,"Stainless Cylinder Unit 3/4""",Pneumatics,78.15,120.44,7,25
SKU-082,High-Performance Ball Bearing 5A,Bearings,536.46,1144.28,14,5
SKU-083,High-Performance Shaft Collar 24V,Drive Systems,322.99,458.12,7,100
SKU-084,Compact Proximity Switch 48V,Sensors,618.21,1359.84,28,25
SKU-085,Modular Tube Fitting 10A,Fittings,289.68,459.56,21,100
SKU-086,Advanced Coalescer Filter 50mm,Filtration,436.91,908.37,14,100
SKU-087,"Sealed Cable Gland 1/2""",Electrical,60.89,95.26,7,100
SKU-088,"Sealed Strut Channel 3/4""",Structural,39.02,69.87,21,200
SKU-089,Sealed Grease Fitting 40mm,Lubrication,287.02,557.83,7,1
SKU-090,"Industrial Lip Seal 3/4""",Seals,64.21,140.84,7,200
SKU-091,High-Performance Stud Bolt 5A,Fasteners,180.63,372.01,14,20
SKU-092,Stainless Signal Converter 5A,Electronics,572.04,1192.37,14,100
SKU-093,Industrial Cylinder 5A,Hydraulics,196.87,363.99,28,200
SKU-094,Standard Actuator 150W,Pneumatics,355.06,616.75,14,20
SKU-095,Advanced Bearing Set 50mm,Bearings,485.08,945.64,14,100
SKU-096,Sealed Shaft Collar 50mm,Drive Systems,565.83,1184.32,14,5
SKU-097,Heavy-Duty Position Sensor 500W,Sensors,426.99,632.46,14,25
SKU-098,Precision Elbow Joint 500W,Fittings,439.63,792.91,14,200
SKU-099,High-Performance Strainer Element 5A,Filtration,62.39,136.11,28,5
SKU-100,Industrial Cable Gland 50mm,Electrical,518.31,828.97,14,100
